字,假名,送假名,旧字体,音训读,简体字,等级,类别
埴,はに,,,训读,,准1级,人名用汉字
掻,そう,,,音读,,准1级,
掻,か,く,,训读,,准1级,
牽,けん,,,音读,牵,准1级,人名用汉字
牽,つら,なる,,训读,牵,准1级,人名用汉字
牽,ひ,く,,训读,牵,准1级,人名用汉字
躯,く,,,音读,,准1级,
躯,からだ,,,训读,,准1级,
躯,むくろ,,,训读,,准1级,
訣,けつ,,,音读,诀,准1级,人名用汉字
訣,おくぎ,,,训读,诀,准1级,人名用汉字
訣,わか,れる,,训读,诀,准1级,人名用汉字
釧,せん,,,音读,钏,准1级,人名用汉字
釧,うでわ,,,训读,钏,准1级,人名用汉字
釧,くしろ,,,训读,钏,准1级,人名用汉字
袈,け,,,音读,,准1级,人名用汉字
蛋,たん,,,音读,,准1级,
蛋,あま,,,训读,,准1级,
蛋,えびす,,,训读,,准1级,
蛋,たまご,,,训读,,准1级,
紬,ちゅう,,,音读,,准1级,人名用汉字
紬,つむぎ,,,训读,,准1级,人名用汉字
紬,つむ,ぐ,,训读,,准1级,人名用汉字
壷,こ,,,音读,,准1级,
壷,つぼ,,,训读,,准1级,
兜,と,,,音读,,准1级,人名用汉字
兜,とう,,,音读,,准1级,人名用汉字
兜,かぶと,,,训读,,准1级,人名用汉字
娼,しょう,,,音读,,准1级,
娼,あそびめ,,,训读,,准1级,
絃,げん,,,音读,,准1级,人名用汉字
絃,いと,,,训读,,准1级,人名用汉字
絃,つる,,,训读,,准1级,人名用汉字
甜,てん,,,音读,,准1级,
甜,あま,い,,训读,,准1级,
甜,うま,い,,训读,,准1级,
淀,てん,,,音读,,准1级,人名用汉字
淀,でん,,,音读,,准1级,人名用汉字
淀,よど,,,训读,,准1级,人名用汉字
淀,よど,む,,训读,,准1级,人名用汉字
捷,しょう,,,音读,,准1级,人名用汉字
捷,か,つ,,训读,,准1级,人名用汉字
捷,はや,い,,训读,,准1级,人名用汉字
梢,しょう,,,音读,,准1级,人名用汉字
梢,かじ,,,训读,,准1级,人名用汉字
梢,こずえ,,,训读,,准1级,人名用汉字
掬,きく,,,音读,,准1级,人名用汉字
掬,すく,う,,训读,,准1级,人名用汉字
掬,むす,ぶ,,训读,,准1级,人名用汉字
猪,ちょ,,,音读,,准1级,人名用汉字
猪,い,,,训读,,准1级,人名用汉字
猪,いのしし,,,训读,,准1级,人名用汉字
菖,しょう,,,音读,,准1级,人名用汉字
菖,しょうぶ,,,训读,,准1级,人名用汉字
逗,ず,,,音读,,准1级,人名用汉字
逗,とう,,,音读,,准1级,人名用汉字
逗,とど,まる,,训读,,准1级,人名用汉字
畦,けい,,,音读,,准1级,
