字,假名,送假名,旧字体,音训读,简体字,等级,类别
懐,なつ,く,懷,训读,怀,准2级,常用汉字
懐,なつ,ける,懷,训读,怀,准2级,常用汉字
衡,こう,,,音读,,准2级,常用汉字
還,かん,,,音读,还,准2级,常用汉字
儒,じゅ,,,音读,,准2级,常用汉字
磨,ま,,,音读,,准2级,常用汉字
磨,みが,く,,训读,,准2级,常用汉字
薫,くん,,薰,音读,熏,准2级,常用汉字
薫,かお,る,薰,训读,熏,准2级,常用汉字
融,ゆう,,,音读,,准2级,常用汉字
憾,かん,,,音读,,准2级,常用汉字
諭,ゆ,,,音读,谕,准2级,常用汉字
諭,さと,す,,训读,谕,准2级,常用汉字
薦,せん,,,音读,荐,准2级,常用汉字
薦,すす,める,,训读,荐,准2级,常用汉字
壌,じょう,,壤,音读,壤,准2级,常用汉字
嚇,かく,,,音读,吓,准2级,常用汉字
購,こう,,,音读,购,准2级,常用汉字
頻,ひん,,頻,音读,频,准2级,常用汉字
霜,そう,,,音读,,准2级,常用汉字
霜,しも,,,训读,,准2级,常用汉字
爵,しゃく,,,音读,,准2级,常用汉字
懇,こん,,,音读,恳,准2级,常用汉字
懇,ねんごろ,,,训读,恳,准2级,常用汉字
濯,たく,,,音读,,准2级,常用汉字
轄,かつ,,,音读,辖,准2级,常用汉字
醜,しゅう,,,音读,丑,准2级,常用汉字
醜,みにく,い,,训读,丑,准2级,常用汉字
矯,きょう,,,音读,矫,准2级,常用汉字
矯,た,める,,训读,矫,准2级,常用汉字
謹,きん,,謹,音读,谨,准2级,常用汉字
謹,つつし,む,謹,训读,谨,准2级,常用汉字
擬,ぎ,,,音读,拟,准2级,常用汉字
礁,しょう,,,音读,,准2级,常用汉字
謙,けん,,,音读,谦,准2级,常用汉字
謄,とう,,,音读,誊,准2级,常用汉字
償,しょう,,,音读,偿,准2级,常用汉字
償,つぐな,う,,训读,偿,准2级,常用汉字
繊,せん,,纖,音读,荐,准2级,常用汉字
襟,きん,,,音读,,准2级,常用汉字
襟,えり,,,训读,,准2级,常用汉字
繭,けん,,,音读,茧,准2级,常用汉字
繭,まゆ,,,训读,茧,准2级,常用汉字
顕,けん,,顯,音读,显,准2级,常用汉字
懲,ちょう,,懲,音读,惩,准2级,常用汉字
懲,こ,りる,懲,训读,惩,准2级,常用汉字
懲,こ,らす,懲,训读,惩,准2级,常用汉字
懲,こ,らしめる,懲,训读,惩,准2级,常用汉字
癒,ゆ,,,音读,愈,准2级,常用汉字
癒,い,える,,训读,愈,准2级,常用汉字
癒,い,やす,,训读,愈,准2级,常用汉字
韻,いん,,,音读,韵,准2级,常用汉字
覇,は,,霸,音读,霸,准2级,常用汉字
璽,じ,,,音读,玺,准2级,常用汉字
羅,ら,,,音读,罗,准2级,常用汉字
譜,ふ,,,音读,谱,准2级,常用汉字
藻,そう,,,音读,,准2级,常用汉字
藻,も,,,训读,,准2级,常用汉字
懸,けん,,,音读,悬,准2级,常用汉字
懸,け,,,音读,悬,准2级,常用汉字
懸,か,ける,,训读,悬,准2级,常用汉字
懸,か,かる,,训读,悬,准2级,常用汉字
醸,じょう,,釀,音读,酿,准2级,常用汉字
醸,かも,す,釀,训读,酿,准2级,常用汉字
騰,とう,,,音读,腾,准2级,常用汉字
艦,かん,,,音读,舰,准2级,常用汉字
﻿字,假名,送假名,旧字体,音训读,简体字,,常用汉字
餌［餌］,じ,,,音读,,,常用汉字
餌［餌］,えさ,,,训读,,,常用汉字
餌［餌］,え,,,训读,,,常用汉字
遡［遡］,そ,,,音读,,,常用汉字
遡［遡］,さかのぼ,る,,训读,,,常用汉字
遜［遜］,そん,,,音读,,,常用汉字
謎［謎］,なぞ,,,训读,,,常用汉字
餅［餅］,へい,,餠,音读,,,常用汉字
餅［餅］,もち,,餠,训读,,,常用汉字
弁（辨）（瓣）,べん,,辯,音读,,,常用汉字
廉,れん,,,音读,,,常用汉字
已,い,,,音读,,,人名用汉字
已,すで,に,,训读,,,人名用汉字
已,のみ,,,训读,,,人名用汉字
已,はなは,だ,,训读,,,人名用汉字
已,や,む,,训读,,,人名用汉字
收,しゅう,,,音读,,,人名用汉字
收,おさ,まる,,训读,,,人名用汉字
收,おさ,める,,训读,,,人名用汉字
巫,ふ,,,音读,,,人名用汉字
巫,ぶ,,,音读,,,人名用汉字
巫,かんなぎ,,,训读,,,人名用汉字
巫,みこ,,,训读,,,人名用汉字
芦,ろ,,,音读,,,人名用汉字
芦,あし,,,训读,,,人名用汉字
芦,よし,,,训读,,,人名用汉字
佛,ぶつ,,,音读,,,人名用汉字
佛,ふつ,,,音读,,,人名用汉字
佛,ほとけ,,,训读,,,人名用汉字
壯,そう,,,音读,,,人名用汉字
壯,さか,ん,,训读,,,人名用汉字
步,ほ,,,音读,,,人名用汉字
步,ぶ,,,音读,,,人名用汉字
步,ふ,,,音读,,,人名用汉字
步,あゆ,む,,训读,,,人名用汉字
步,ある,く,,训读,,,人名用汉字
每,まい,,,音读,,,人名用汉字
每,ばい,,,音读,,,人名用汉字
每,ごと,,,训读,,,人名用汉字
每,つね,,,训读,,,人名用汉字
每,むさぼ,る,,训读,,,人名用汉字
侑,う,,,音读,,,人名用汉字
侑,ゆう,,,音读,,,人名用汉字
侑,すす,める,,训读,,,人名用汉字
侑,たす,ける,,训读,,,人名用汉字
侑,むく,いる,,训读,,,人名用汉字
侑,ゆる,す,,训读,,,人名用汉字
昊,こう,,,音读,,,人名用汉字
昊,そら,,,训读,,,人名用汉字
茉,ばつ,,,音读,,,人名用汉字
茉,まつ,,,音读,,,人名用汉字
苺,ばい,,,音读,,,人名用汉字
苺,まい,,,音读,,,人名用汉字
苺,いちご,,,训读,,,人名用汉字
苺,こけ,,,训读,,,人名用汉字
迪,てき,,,音读,,,人名用汉字
迪,みち,,,训读,,,人名用汉字
迪,みちび,く,,训读,,,人名用汉字
迪,すす,む,,训读,,,人名用汉字
迪,ふ,む,,训读,,,人名用汉字
穹,きゅう,,,音读,,,人名用汉字
穹,あな,,,训读,,,人名用汉字
穹,おお,きい,,训读,,,人名用汉字
穹,おおぞら,,,训读,,,人名用汉字
穹,たか,い,,训读,,,人名用汉字
穹,ふか,い,,训读,,,人名用汉字
來,らい,,,音读,,,人名用汉字
來,く,る,,训读,,,人名用汉字
來,きた,す,,训读,,,人名用汉字
來,きた,る,,训读,,,人名用汉字
來,き,し,,训读,,,人名用汉字
來,こ,し,,训读,,,人名用汉字
亞,あ,,,音读,,,人名用汉字
亞,つ,ぐ,,训读,,,人名用汉字
亞,はふり,,,训读,,,人名用汉字
兒,じ,,,音读,,,人名用汉字
兒,に,,,音读,,,人名用汉字
兒,こ,,,训读,,,人名用汉字
拔,ばつ,,,音读,,,人名用汉字
拔,ぬ,かす,,训读,,,人名用汉字
拔,ぬ,かる,,训读,,,人名用汉字
拔,ぬ,く,,训读,,,人名用汉字
拔,ぬ,ける,,训读,,,人名用汉字
卷,かん,,,音读,,,人名用汉字
卷,けん,,,音读,,,人名用汉字
卷,まき,,,训读,,,人名用汉字
卷,ま,く,,训读,,,人名用汉字
拂,ふつ,,,音读,,,人名用汉字
拂,ひつ,,,音读,,,人名用汉字
拂,はら,う,,训读,,,人名用汉字
爭,そう,,,音读,,,人名用汉字
爭,あらそ,う,,训读,,,人名用汉字
爭,いさ,める,,训读,,,人名用汉字
卑,ひ,,,音读,,,人名用汉字
卑,いや,しい,,训读,,,人名用汉字
卑,いや,しむ,,训读,,,人名用汉字
卑,いや,しめる,,训读,,,人名用汉字
卑,ひく,い,,训读,,,人名用汉字
社,しゃ,,,音读,,,人名用汉字
社,じゃ,,,音读,,,人名用汉字
社,やしろ,,,训读,,,人名用汉字
狀,じょう,,,音读,,,人名用汉字
狀,かきつけ,,,训读,,,人名用汉字
狀,かたち,,,训读,,,人名用汉字
俐,り,,,音读,,,人名用汉字
俐,かしこ,い,,训读,,,人名用汉字
俐,さか,しい,,训读,,,人名用汉字
勁,けい,,,音读,,,人名用汉字
勁,つよ,い,,训读,,,人名用汉字
奎,き,,,音读,,,人名用汉字
奎,けい,,,音读,,,人名用汉字
奎,とかきぼし,,,训读,,,人名用汉字
奎,また,,,训读,,,人名用汉字
昴,ぼう,,,音读,,,人名用汉字
昴,すばる,,,训读,,,人名用汉字
洸,こう,,,音读,,,人名用汉字
洸,ほの,か,,训读,,,人名用汉字
洵,しゅん,,,音读,,,人名用汉字
洵,じゅん,,,音读,,,人名用汉字
洵,まこと,,,训读,,,人名用汉字
洵,まこと,に,,训读,,,人名用汉字
珈,か,,,音读,,,人名用汉字
珈,かみかざ,り,,训读,,,人名用汉字
珀,はく,,,音读,,,人名用汉字
拜,はい,,,音读,,,人名用汉字
拜,おが,む,,训读,,,人名用汉字
恆,こう,,,音读,,,人名用汉字
恆,つね,,,训读,,,人名用汉字
恆,つね,に,,训读,,,人名用汉字
侮,ぶ,,,音读,,,人名用汉字
侮,あなど,る,,训读,,,人名用汉字
勉,べん,,,音读,,,人名用汉字
勉,つと,める,,训读,,,人名用汉字
祈,き,,,音读,,,人名用汉字
祈,いの,る,,训读,,,人名用汉字
祉,し,,,音读,,,人名用汉字
祉,さいわ,い,,训读,,,人名用汉字
突,とつ,,,音读,,,人名用汉字
突,つ,く,,训读,,,人名用汉字
者,しゃ,,,音读,,,人名用汉字
者,もの,,,训读,,,人名用汉字
卽,そく,,,音读,,,人名用汉字
卽,しょく,,,音读,,,人名用汉字
卽,すなわ,ち,,训读,,,人名用汉字
卽,つ,く,,训读,,,人名用汉字
晟,せい,,,音读,,,人名用汉字
晟,あき,らか,,训读,,,人名用汉字
晟,さか,ん,,训读,,,人名用汉字
晏,あん,,,音读,,,人名用汉字
晏,おそ,い,,训读,,,人名用汉字
晏,やす,らか,,训读,,,人名用汉字
栞,かん,,,音读,,,人名用汉字
栞,しおり,,,训读,,,人名用汉字
莉,り,,,音读,,,人名用汉字
莉,れい,,,音读,,,人名用汉字
赳,きゅう,,,音读,,,人名用汉字
赳,たけ,し,,训读,,,人名用汉字
氣,き,,,音读,,,人名用汉字
氣,け,,,音读,,,人名用汉字
氣,いき,,,训读,,,人名用汉字
乘,じょう,,,音读,,,人名用汉字
乘,しょう,,,音读,,,人名用汉字
乘,の,せる,,训读,,,人名用汉字
乘,の,る,,训读,,,人名用汉字
凉,りょう,,,音读,,,人名用汉字
凉,すず,しい,,训读,,,人名用汉字
凉,すず,む,,训读,,,人名用汉字
凉,うす,い,,训读,,,人名用汉字
莊,しょう,,,音读,,,人名用汉字
莊,そう,,,音读,,,人名用汉字
莊,おごそ,か,,训读,,,人名用汉字
莊,しもやしき,,,训读,,,人名用汉字
祕,ひ,,,音读,,,人名用汉字
祕,ひ,める,,训读,,,人名用汉字
祕,かく,す,,训读,,,人名用汉字
祕,ひそ,か,,训读,,,人名用汉字
峽,きょう,,,音读,,,人名用汉字
峽,はざま,,,训读,,,人名用汉字
眞,しん,,,音读,,,人名用汉字
眞,ま,,,训读,,,人名用汉字
眞,まこと,,,训读,,,人名用汉字
晄,こう,,,音读,,,人名用汉字
晄,あき,らか,,训读,,,人名用汉字
晄,ひか,る,,训读,,,人名用汉字
狹,きょう,,,音读,,,人名用汉字
狹,こう,,,音读,,,人名用汉字
狹,せば,まる,,训读,,,人名用汉字
狹,せば,める,,训读,,,人名用汉字
狹,せま,い,,训读,,,人名用汉字
狹,さ,,,训读,,,人名用汉字
神,しん,,,音读,,,人名用汉字
神,じん,,,音读,,,人名用汉字
神,かみ,,,训读,,,人名用汉字
神,かん,,,训读,,,人名用汉字
神,こう,,,训读,,,人名用汉字
神,たましい,,,训读,,,人名用汉字
悔,かい,,,音读,,,人名用汉字
悔,け,,,音读,,,人名用汉字
悔,く,いる,,训读,,,人名用汉字
悔,くや,しい,,训读,,,人名用汉字
悔,く,やむ,,训读,,,人名用汉字
海,かい,,,音读,,,人名用汉字
海,うみ,,,训读,,,人名用汉字
祐,ゆう,,,音读,,,人名用汉字
祐,たす,け,,训读,,,人名用汉字
祐,たす,ける,,训读,,,人名用汉字
祖,そ,,,音读,,,人名用汉字
祖,おや,,,训读,,,人名用汉字
祖,じじ,,,训读,,,人名用汉字
祖,はじ,め,,训读,,,人名用汉字
祝,しゅく,,,音读,,,人名用汉字
祝,しゅう,,,音读,,,人名用汉字
祝,いわ,う,,训读,,,人名用汉字
祝,た,つ,,训读,,,人名用汉字
祝,の,る,,训读,,,人名用汉字
祝,のろ,う,,训读,,,人名用汉字
臭,しゅう,,,音读,,,人名用汉字
臭,きゅう,,,音读,,,人名用汉字
臭,くさ,い,,训读,,,人名用汉字
臭,にお,う,,训读,,,人名用汉字
郞,ろう,,,音读,,,人名用汉字
郞,おとこ,,,训读,,,人名用汉字
涉,しょう,,,音读,,,人名用汉字
涉,かか,わる,,训读,,,人名用汉字
涉,わた,る,,训读,,,人名用汉字
崚,りょう,,,音读,,,人名用汉字
崚,けわ,しい,,训读,,,人名用汉字
崚,たか,い,,训读,,,人名用汉字
彗,え,,,音读,,,人名用汉字
彗,けい,,,音读,,,人名用汉字
彗,すい,,,音读,,,人名用汉字
彗,は,く,,训读,,,人名用汉字
彗,ほうき,,,训读,,,人名用汉字
彗,ほうきぼし,,,训读,,,人名用汉字
毬,きゅう,,,音读,,,人名用汉字
毬,いが,,,训读,,,人名用汉字
毬,まり,,,训读,,,人名用汉字
晨,しん,,,音读,,,人名用汉字
晨,あした,,,训读,,,人名用汉字
晨,とき,,,训读,,,人名用汉字
晨,よあ,け,,训读,,,人名用汉字
梛,だ,,,音读,,,人名用汉字
梛,な,,,音读,,,人名用汉字
梛,なぎ,,,训读,,,人名用汉字
脩,しゅう,,,音读,,,人名用汉字
脩,ゆう,,,音读,,,人名用汉字
脩,おさ,める,,训读,,,人名用汉字
脩,なが,い,,训读,,,人名用汉字
脩,ほじし,,,训读,,,人名用汉字
笙,しょう,,,音读,,,人名用汉字
笙,しょうのふえ,,,训读,,,人名用汉字
笙,ふえ,,,训读,,,人名用汉字
絆,はん,,,音读,,,人名用汉字
絆,ばん,,,音读,,,人名用汉字
絆,きずな,,,训读,,,人名用汉字
絆,つな,ぐ,,训读,,,人名用汉字
絆,ほだ,す,,训读,,,人名用汉字
羚,りょう,,,音读,,,人名用汉字
羚,れい,,,音读,,,人名用汉字
羚,かもしか,,,训读,,,人名用汉字
眸,ぼう,,,音读,,,人名用汉字
眸,む,,,音读,,,人名用汉字
眸,ひとみ,,,训读,,,人名用汉字
菫,きん,,,音读,,,人名用汉字
菫,すみれ,,,训读,,,人名用汉字
菫,とりかぶと,,,训读,,,人名用汉字
逞,てい,,,音读,,,人名用汉字
逞,こころよ,い,,训读,,,人名用汉字
逞,たくま,しい,,训读,,,人名用汉字
逞,たくま,しくする,,训读,,,人名用汉字
冨,ふ,,,音读,,,人名用汉字
冨,ふう,,,音读,,,人名用汉字
冨,とみ,,,训读,,,人名用汉字
冨,と,む,,训读,,,人名用汉字
圈,けん,,,音读,,,人名用汉字
圈,かこ,い,,训读,,,人名用汉字
國,こく,,,音读,,,人名用汉字
國,くに,,,训读,,,人名用汉字
淨,じょう,,,音读,,,人名用汉字
淨,きよ,い,,训读,,,人名用汉字
條,じょう,,,音读,,,人名用汉字
條,えだ,,,训读,,,人名用汉字
條,すじ,,,训读,,,人名用汉字
將,しょう,,,音读,,,人名用汉字
將,はた,,,训读,,,人名用汉字
將,ひき,いる,,训读,,,人名用汉字
將,まさ,に,,训读,,,人名用汉字
專,せん,,,音读,,,人名用汉字
專,もっぱ,ら,,训读,,,人名用汉字
專,ほしいまま,,,训读,,,人名用汉字
帶,たい,,,音读,,,人名用汉字
帶,おび,,,训读,,,人名用汉字
帶,お,びる,,训读,,,人名用汉字
從,じゅう,,,音读,,,人名用汉字
從,じゅ,,,音读,,,人名用汉字
從,しょう,,,音读,,,人名用汉字
從,したが,う,,训读,,,人名用汉字
從,したが,える,,训读,,,人名用汉字
徠,らい,,,音读,,,人名用汉字
徠,きた,る,,训读,,,人名用汉字
徠,く,る,,训读,,,人名用汉字
敍,じょ,,,音读,,,人名用汉字
敍,の,べる,,训读,,,人名用汉字
晝,ちゅう,,,音读,,,人名用汉字
晝,ひる,,,训读,,,人名用汉字
陷,かん,,,音读,,,人名用汉字
陷,おちい,る,,训读,,,人名用汉字
陷,おとしい,れる,,训读,,,人名用汉字
朗,ろう,,,音读,,,人名用汉字
朗,ほが,らか,,训读,,,人名用汉字
朗,あき,らか,,训读,,,人名用汉字
朗,たか,らか,,训读,,,人名用汉字
祥,しょう,,,音读,,,人名用汉字
祥,きざ,し,,训读,,,人名用汉字
祥,さいわ,い,,训读,,,人名用汉字
祥,さち,,,训读,,,人名用汉字
敏,びん,,,音读,,,人名用汉字
敏,さと,い,,训读,,,人名用汉字
敏,と,し,,训读,,,人名用汉字
梅,ばい,,,音读,,,人名用汉字
梅,うめ,,,训读,,,人名用汉字
巢,そう,,,音读,,,人名用汉字
巢,す,,,训读,,,人名用汉字
晚,ばん,,,音读,,,人名用汉字
晚,おそ,い,,训读,,,人名用汉字
晚,く,れ,,训读,,,人名用汉字
淚,るい,,,音读,,,人名用汉字
淚,なみだ,,,训读,,,人名用汉字
惺,せい,,,音读,,,人名用汉字
惺,さと,る,,训读,,,人名用汉字
惺,しず,か,,训读,,,人名用汉字
曾,ぞ,,,音读,,,人名用汉字
曾,そう,,,音读,,,人名用汉字
曾,そ,,,音读,,,人名用汉字
曾,ぞう,,,音读,,,人名用汉字
曾,かさ,なる,,训读,,,人名用汉字
曾,かつ,て,,训读,,,人名用汉字
曾,すなわ,ち,,训读,,,人名用汉字
曾,ま,す,,训读,,,人名用汉字
渾,こん,,,音读,,,人名用汉字
渾,すべ,て,,训读,,,人名用汉字
渾,にご,る,,训读,,,人名用汉字
渾,ま,じる,,训读,,,人名用汉字
琥,く,,,音读,,,人名用汉字
琥,こ,,,音读,,,人名用汉字
釉,ゆう,,,音读,,,人名用汉字
釉,うわぐすり,,,训读,,,人名用汉字
釉,つや,,,训读,,,人名用汉字
釉,ひかり,,,训读,,,人名用汉字
皓,こう,,,音读,,,人名用汉字
皓,きよ,い,,训读,,,人名用汉字
皓,しろ,い,,训读,,,人名用汉字
皓,ひか,る,,训读,,,人名用汉字
翔,しょう,,,音读,,,人名用汉字
翔,かけ,る,,训读,,,人名用汉字
翔,と,ぶ,,训读,,,人名用汉字
單,ぜん,,,音读,,,人名用汉字
單,たん,,,音读,,,人名用汉字
單,ひとえ,,,训读,,,人名用汉字
單,ひと,つ,,训读,,,人名用汉字
堯,ぎょう,,,音读,,,人名用汉字
堯,たか,い,,训读,,,人名用汉字
惠,え,,,音读,,,人名用汉字
惠,けい,,,音读,,,人名用汉字
惠,めぐ,む,,训读,,,人名用汉字
萬,ばん,,,音读,,,人名用汉字
萬,まん,,,音读,,,人名用汉字
萬,よろず,,,训读,,,人名用汉字
惡,あく,,,音读,,,人名用汉字
惡,お,,,音读,,,人名用汉字
惡,わる,い,,训读,,,人名用汉字
惡,あ,し,,训读,,,人名用汉字
惡,いずく,んぞ,,训读,,,人名用汉字
惡,にく,む,,训读,,,人名用汉字
盜,とう,,,音读,,,人名用汉字
盜,ぬす,む,,训读,,,人名用汉字
盜,と,る,,训读,,,人名用汉字
剩,じょう,,,音读,,,人名用汉字
剩,あま,す,,训读,,,人名用汉字
剩,あまつさ,え,,训读,,,人名用汉字
剩,あま,る,,训读,,,人名用汉字
搜,そう,,,音读,,,人名用汉字
搜,さが,す,,训读,,,人名用汉字
爲,い,,,音读,,,人名用汉字
爲,す,る,,训读,,,人名用汉字
爲,ため,,,训读,,,人名用汉字
爲,つく,る,,训读,,,人名用汉字
爲,な,す,,训读,,,人名用汉字
爲,な,る,,训读,,,人名用汉字
猪,ちょ,,,音读,,,人名用汉字
猪,い,,,训读,,,人名用汉字
猪,いのしし,,,训读,,,人名用汉字
都,つ,,,音读,,,人名用汉字
都,と,,,音读,,,人名用汉字
都,みやこ,,,训读,,,人名用汉字
都,すべ,て,,训读,,,人名用汉字
渚,しょ,,,音读,,,人名用汉字
渚,なぎさ,,,训读,,,人名用汉字
渚,みぎわ,,,训读,,,人名用汉字
琢,たく,,,音读,,,人名用汉字
琢,みが,く,,训读,,,人名用汉字
著,ちょ,,,音读,,,人名用汉字
著,じゃく,,,音读,,,人名用汉字
著,ちゃく,,,音读,,,人名用汉字
著,あらわ,す,,训读,,,人名用汉字
著,いちじる,しい,,训读,,,人名用汉字
著,き,る,,训读,,,人名用汉字
著,つ,く,,训读,,,人名用汉字
視,し,,,音读,,,人名用汉字
視,み,る,,训读,,,人名用汉字
逸,いつ,,,音读,,,人名用汉字
逸,いち,,,音读,,,人名用汉字
逸,うしな,う,,训读,,,人名用汉字
逸,すぐ,れる,,训读,,,人名用汉字
逸,そ,らす,,训读,,,人名用汉字
逸,そ,れる,,训读,,,人名用汉字
逸,はぐ,れる,,训读,,,人名用汉字
逸,はし,る,,训读,,,人名用汉字
逸,はや,る,,训读,,,人名用汉字
黑,こく,,,音读,,,人名用汉字
黑,くろ,,,训读,,,人名用汉字
黑,くろ,い,,训读,,,人名用汉字
揭,けい,,,音读,,,人名用汉字
揭,かか,げる,,训读,,,人名用汉字
渴,かつ,,,音读,,,人名用汉字
渴,けつ,,,音读,,,人名用汉字
渴,かわ,く,,训读,,,人名用汉字
渴,むさぼ,る,,训读,,,人名用汉字
虛,きょ,,,音读,,,人名用汉字
虛,こ,,,音读,,,人名用汉字
虛,うつ,ける,,训读,,,人名用汉字
虛,うつ,ろ,,训读,,,人名用汉字
虛,うろ,,,训读,,,人名用汉字
虛,むな,しい,,训读,,,人名用汉字
黃,おう,,,音读,,,人名用汉字
黃,こう,,,音读,,,人名用汉字
黃,き,,,训读,,,人名用汉字
黃,こ,,,训读,,,人名用汉字
暉,き,,,音读,,,人名用汉字
暉,かがや,く,,训读,,,人名用汉字
暉,ひかり,,,训读,,,人名用汉字
暉,ひか,る,,训读,,,人名用汉字
椰,や,,,音读,,,人名用汉字
椰,やし,,,训读,,,人名用汉字
滉,こう,,,音读,,,人名用汉字
滉,ひろ,い,,训读,,,人名用汉字
瑶,よう,,,音读,,,人名用汉字
瑶,たま,,,训读,,,人名用汉字
煌,こう,,,音读,,,人名用汉字
煌,あき,らか,,训读,,,人名用汉字
煌,かがや,く,,训读,,,人名用汉字
煌,きら,めく,,训读,,,人名用汉字
詢,しゅん,,,音读,,,人名用汉字
詢,じゅん,,,音读,,,人名用汉字
詢,と,う,,训读,,,人名用汉字
詢,はか,る,,训读,,,人名用汉字
詢,まこと,,,训读,,,人名用汉字
頌,じゅ,,,音读,,,人名用汉字
頌,しょう,,,音读,,,人名用汉字
頌,よう,,,音读,,,人名用汉字
頌,かたち,,,训读,,,人名用汉字
頌,たた,える,,训读,,,人名用汉字
頌,ほ,める,,训读,,,人名用汉字
頌,ゆる,やか,,训读,,,人名用汉字
稟,ひん,,,音读,,,人名用汉字
稟,りん,,,音读,,,人名用汉字
稟,う,ける,,训读,,,人名用汉字
稟,こめぐら,,,训读,,,人名用汉字
稟,ふち,,,训读,,,人名用汉字
稟,もう,す,,训读,,,人名用汉字
碎,さい,,,音读,,,人名用汉字
碎,くだ,く,,训读,,,人名用汉字
碎,くだ,ける,,训读,,,人名用汉字
圓,えん,,,音读,,,人名用汉字
圓,まる,い,,训读,,,人名用汉字
圓,つぶら,か,,训读,,,人名用汉字
圓,まど,か,,训读,,,人名用汉字
圓,まろ,やか,,训读,,,人名用汉字
奧,おう,,,音读,,,人名用汉字
奧,いく,,,音读,,,人名用汉字
奧,おく,,,训读,,,人名用汉字
奧,くま,,,训读,,,人名用汉字
傳,でん,,,音读,,,人名用汉字
傳,てん,,,音读,,,人名用汉字
傳,つた,う,,训读,,,人名用汉字
傳,つた,える,,训读,,,人名用汉字
傳,つた,わる,,训读,,,人名用汉字
傳,つて,,,训读,,,人名用汉字
祿,ろく,,,音读,,,人名用汉字
祿,さいわ,い,,训读,,,人名用汉字
祿,ふち,,,训读,,,人名用汉字
愼,しん,,,音读,,,人名用汉字
愼,じん,,,音读,,,人名用汉字
愼,つつし,む,,训读,,,人名用汉字
愼,つつま,しい,,训读,,,人名用汉字
愼,つつま,しやか,,训读,,,人名用汉字
搖,よう,,,音读,,,人名用汉字
搖,ゆ,さぶる,,训读,,,人名用汉字
搖,ゆ,すぶる,,训读,,,人名用汉字
搖,ゆ,する,,训读,,,人名用汉字
搖,ゆ,らぐ,,训读,,,人名用汉字
搖,ゆ,る,,训读,,,人名用汉字
搖,ゆ,るぐ,,训读,,,人名用汉字
搖,ゆ,れる,,训读,,,人名用汉字
與,よ,,,音读,,,人名用汉字
與,あた,える,,训读,,,人名用汉字
與,あずか,る,,训读,,,人名用汉字
與,くみ,する,,训读,,,人名用汉字
裝,そう,,,音读,,,人名用汉字
裝,しょう,,,音读,,,人名用汉字
裝,よそお,う,,训读,,,人名用汉字
裝,よそ,う,,训读,,,人名用汉字
虜,りょ,,,音读,,,人名用汉字
虜,ろ,,,音读,,,人名用汉字
虜,えびす,,,训读,,,人名用汉字
虜,しもべ,,,训读,,,人名用汉字
虜,とりこ,,,训读,,,人名用汉字
廊,ろう,,,音读,,,人名用汉字
廊,わたどの,,,训读,,,人名用汉字
勤,きん,,,音读,,,人名用汉字
勤,ごん,,,音读,,,人名用汉字
勤,つと,まる,,训读,,,人名用汉字
勤,つと,める,,训读,,,人名用汉字
勤,いそ,しむ,,训读,,,人名用汉字
勤,つと,め,,训读,,,人名用汉字
暑,しょ,,,音读,,,人名用汉字
暑,あつ,い,,训读,,,人名用汉字
煮,しゃ,,,音读,,,人名用汉字
煮,に,える,,训读,,,人名用汉字
煮,に,やす,,训读,,,人名用汉字
煮,に,る,,训读,,,人名用汉字
碑,ひ,,,音读,,,人名用汉字
碑,いしぶみ,,,训读,,,人名用汉字
溫,おん,,,音读,,,人名用汉字
溫,うん,,,音读,,,人名用汉字
溫,あたた,か,,训读,,,人名用汉字
溫,あたた,かい,,训读,,,人名用汉字
溫,あたた,まる,,训读,,,人名用汉字
溫,あたた,める,,训读,,,人名用汉字
溫,たず,ねる,,训读,,,人名用汉字
溫,つつ,む,,训读,,,人名用汉字
溫,ぬく,い,,训读,,,人名用汉字
溫,ぬく,まる,,训读,,,人名用汉字
溫,ぬく,める,,训读,,,人名用汉字
溫,ぬる,い,,训读,,,人名用汉字
颯,さつ,,,音读,,,人名用汉字
颯,そう,,,音读,,,人名用汉字
颯,はやて,,,训读,,,人名用汉字
漱,そう,,,音读,,,人名用汉字
漱,うがい,,,训读,,,人名用汉字
漱,くちすす,ぐ,,训读,,,人名用汉字
漱,すす,ぐ,,训读,,,人名用汉字
綺,き,,,音读,,,人名用汉字
綺,あや,,,训读,,,人名用汉字
綺,いろ,う,,训读,,,人名用汉字
綺,うつく,しい,,训读,,,人名用汉字
綸,かん,,,音读,,,人名用汉字
綸,りん,,,音读,,,人名用汉字
綸,いと,,,训读,,,人名用汉字
綸,おさ,める,,训读,,,人名用汉字
槇,しん,,,音读,,,人名用汉字
槇,てん,,,音读,,,人名用汉字
槇,まき,,,训读,,,人名用汉字
榮,えい,,,音读,,,人名用汉字
榮,さか,える,,训读,,,人名用汉字
榮,は,え,,训读,,,人名用汉字
榮,は,える,,训读,,,人名用汉字
榮,は,やす,,训读,,,人名用汉字
實,じつ,,,音读,,,人名用汉字
實,さね,,,训读,,,人名用汉字
實,まこと,,,训读,,,人名用汉字
實,まめ,,,训读,,,人名用汉字
實,み,,,训读,,,人名用汉字
實,み,ちる,,训读,,,人名用汉字
實,みの,る,,训读,,,人名用汉字
奬,しょう,,,音读,,,人名用汉字
奬,そう,,,音读,,,人名用汉字
奬,すす,める,,训读,,,人名用汉字
遙,よう,,,音读,,,人名用汉字
遙,さまよ,う,,训读,,,人名用汉字
