字,假名,送假名,旧字体,音训读,简体字
県,けん,,縣,音读,县
倹,けん,,儉,音读,俭
兼,けん,,,音读,
兼,か,ねる,,训读,
剣,けん,,劍,音读,剑
剣,つるぎ,,劍,训读,剑
拳,けん,,,音读,
拳,こぶし,,,训读,
軒,けん,,,音读,轩
軒,のき,,,训读,轩
健,けん,,,音读,
健,すこやか,,,训读,
険,けん,,險,音读,险
険,けわ,しい,險,训读,险
圏,けん,,圈,音读,圈
堅,けん,,,音读,坚
堅,かた,い,,训读,坚
検,けん,,檢,音读,检
嫌,けん,,,音读,
嫌,げん,,,音读,
嫌,きら,う,,训读,
嫌,いや,,,训读,
献,けん,,獻,音读,
献,こん,,獻,音读,
絹,けん,,,音读,绢
絹,きぬ,,,训读,绢
遣,けん,,,音读,
遣,つか,う,,训读,
遣,つか,わす,,训读,
権,けん,,權,音读,权
権,ごん,,權,音读,权
憲,けん,,,音读,宪
賢,けん,,,音读,贤
賢,かしこ,い,,训读,贤
謙,けん,,,音读,谦
鍵,けん,,,音读,键
鍵,かぎ,,,训读,键
繭,けん,,,音读,茧
繭,まゆ,,,训读,茧
顕,けん,,顯,音读,显
験,けん,,驗,音读,验
験,げん,,驗,音读,验
懸,けん,,,音读,悬
懸,け,,,音读,悬
懸,か,ける,,训读,悬
懸,か,かる,,训读,悬
元,げん,,,音读,
元,がん,,,音读,
元,もと,,,训读,
幻,げん,,,音读,
幻,まぼろし,,,训读,
玄,げん,,,音读,
言,げん,,,音读,
言,ごん,,,音读,
言,い,う,,训读,
言,こと,,,训读,
弦,げん,,,音读,
弦,つる,,,训读,
限,げん,,,音读,
限,かぎ,る,,训读,
原,げん,,,音读,
原,はら,,,训读,
現,げん,,,音读,现
現,あらわ,れる,,训读,现
現,あらわ,す,,训读,现
舷,げん,,,音读,
減,げん,,,音读,减
減,へ,る,,训读,减
減,へ,らす,,训读,减
源,げん,,,音读,
源,みなもと,,,训读,
厳,げん,,嚴,音读,严
厳,ごん,,嚴,音读,严
厳,おごそか,,嚴,训读,严
厳,きび,しい,嚴,训读,严
己,こ,,,音读,
己,き,,,音读,
己,おのれ,,,训读,
戸,こ,,,音读,户
戸,と,,,训读,户
古,こ,,,音读,
古,ふる,い,,训读,
古,ふるす,,,训读,
呼,こ,,,音读,
呼,よ,ぶ,,训读,
固,こ,,,音读,
固,かた,める,,训读,
固,かた,まる,,训读,
固,かた,い,,训读,
股,こ,,,音读,
股,また,,,训读,
虎,こ,,,音读,
虎,とら,,,训读,
孤,こ,,,音读,
弧,こ,,,音读,
故,こ,,,音读,
故,ゆえ,,,训读,
枯,こ,,,音读,
枯,か,れる,,训读,
枯,か,らす,,训读,
個,こ,,,音读,个
庫,こ,,,音读,库
庫,く,,,音读,库
湖,こ,,,音读,
湖,みずうみ,,,训读,
雇,こ,,,音读,
雇,やと,う,,训读,
誇,こ,,,音读,夸
誇,ほこ,る,,训读,夸
鼓,こ,,,音读,
鼓,つづみ,,,训读,
錮,こ,,,音读,锢
顧,こ,,,音读,顾
顧,かえり,みる,,训读,顾
五,ご,,,音读,
五,いつ,,,训读,
五,いつ,つ,,训读,
互,ご,,,音读,
互,たが,い,,训读,
午,ご,,,音读,
呉,ご,,,音读,吴
後,ご,,,音读,后
後,こう,,,音读,后
後,のち,,,训读,后
後,うし,ろ,,训读,后
後,あと,,,训读,后
後,おく,れる,,训读,后
娯,ご,,,音读,娱
悟,ご,,,音读,
悟,さと,る,,训读,
碁,ご,,,音读,棋
語,ご,,,音读,语
語,かた,る,,训读,语
語,かた,らう,,训读,语
誤,ご,,,音读,误
誤,あやま,る,,训读,误
護,ご,,,音读,护
口,こう,,,音读,
口,く,,,音读,
口,くち,,,训读,
工,こう,,,音读,
工,く,,,音读,
公,こう,,,音读,
公,おおやけ,,,训读,
勾,こう,,,音读,
孔,こう,,,音读,
功,こう,,,音读,
功,く,,,音读,
巧,こう,,,音读,
巧,たくみ,,,训读,
広,こう,,廣,音读,广
広,ひろ,い,廣,训读,广
広,ひろ,まる,廣,训读,广
広,ひろ,める,廣,训读,广
広,ひろ,がる,廣,训读,广
広,ひろ,げる,廣,训读,广
甲,こう,,,音读,
甲,かん,,,音读,
交,こう,,,音读,
交,まじ,わる,,训读,
交,まじ,える,,训读,
交,ま,じる,,训读,
交,ま,ざる,,训读,
交,ま,ぜる,,训读,
交,かう,,,训读,
交,か,わす,,训读,
光,こう,,,音读,
光,ひか,る,,训读,
光,ひかり,,,训读,
向,こう,,,音读,
向,む,く,,训读,
向,む,ける,,训读,
向,む,かう,,训读,
向,む,こう,,训读,
后,こう,,,音读,
好,こう,,,音读,
好,この,む,,训读,
好,す,く,,训读,
江,こう,,,音读,
江,え,,,训读,
考,こう,,,音读,
考,かんが,える,,训读,
行,こう,,,音读,
行,ぎょう,,,音读,
行,あん,,,音读,
行,い,く,,训读,
行,ゆ,く,,训读,
行,おこな,う,,训读,
坑,こう,,,音读,
孝,こう,,,音读,
抗,こう,,,音读,
攻,こう,,,音读,
攻,せ,める,,训读,
更,こう,,,音读,
更,さら,,,训读,
更,ふ,ける,,训读,
更,ふ,かす,,训读,
効,こう,,效,音读,效
効,き,く,效,训读,效
幸,こう,,,音读,
幸,さいわ,い,,训读,
幸,さち,,,训读,
幸,しあわ,せ,,训读,
拘,こう,,,音读,
肯,こう,,,音读,
侯,こう,,,音读,
厚,こう,,,音读,
厚,あつ,い,,训读,
恒,こう,,恆,音读,
洪,こう,,,音读,
皇,こう,,,音读,
皇,おう,,,音读,
紅,こう,,,音读,红
紅,く,,,音读,红
紅,べに,,,训读,红
紅,くれない,,,训读,红
荒,こう,,,音读,
荒,あら,い,,训读,
荒,あ,れる,,训读,
荒,あ,らす,,训读,
郊,こう,,,音读,
香,こう,,,音读,
香,きょう,,,音读,
香,か,,,训读,
香,かお,り,,训读,
香,かお,る,,训读,
候,こう,,,音读,
候,そうろう,,,训读,
校,こう,,,音读,
耕,こう,,,音读,
耕,たがや,す,,训读,
航,こう,,,音读,
貢,こう,,,音读,贡
貢,く,,,音读,贡
貢,みつ,ぐ,,训读,贡
降,こう,,,音读,
降,お,りる,,训读,
降,お,ろす,,训读,
降,ふ,る,,训读,
高,こう,,,音读,
高,たか,い,,训读,
高,たか,,,训读,
高,たか,まる,,训读,
高,たか,める,,训读,
康,こう,,,音读,
控,こう,,,音读,
控,ひか,える,,训读,
梗,こう,,,音读,
黄,こう,,黃,音读,
黄,おう,,黃,音读,
黄,き,,黃,训读,
黄,こ,,黃,训读,
喉,こう,,,音读,
喉,のど,,,训读,
慌,こう,,,音读,
慌,あわ,てる,,训读,
慌,あわ,ただしい,,训读,
港,こう,,,音读,
港,みなと,,,训读,
硬,こう,,,音读,
硬,かた,い,,训读,
絞,こう,,,音读,绞
絞,しぼ,る,,训读,绞
絞,し,める,,训读,绞
絞,し,まる,,训读,绞
項,こう,,,音读,项
溝,こう,,,音读,沟
溝,みぞ,,,训读,沟
鉱,こう,,鑛,音读,矿
構,こう,,,音读,构
構,かま,える,,训读,构
構,かま,う,,训读,构
綱,こう,,,音读,纲
綱,つな,,,训读,纲
酵,こう,,,音读,
稿,こう,,,音读,
興,こう,,,音读,兴
興,きょう,,,音读,兴
興,おこ,る,,训读,兴
興,おこ,す,,训读,兴
衡,こう,,,音读,
鋼,こう,,,音读,钢
鋼,はがね,,,训读,钢
講,こう,,,音读,讲
購,こう,,,音读,购
乞,こ,う,,训读,
号,ごう,,號,音读,
合,ごう,,,音读,
合,がっ,,,音读,
合,かっ,,,音读,
合,あ,う,,训读,
合,あ,わす,,训读,
合,あ,わせる,,训读,
拷,ごう,,,音读,
剛,ごう,,,音读,刚
傲,ごう,,,音读,
豪,ごう,,,音读,
克,こく,,,音读,
告,こく,,,音读,
告,つ,げる,,训读,
谷,こく,,,音读,
谷,たに,,,训读,
刻,こく,,,音读,
刻,きざ,む,,训读,
国,こく,,國,音读,
国,くに,,國,训读,
黒,こく,,黑,音读,黑
黒,くろ,,黑,训读,黑
黒,くろ,い,黑,训读,黑
穀,こく,,穀,音读,谷
酷,こく,,,音读,
獄,ごく,,,音读,狱
骨,こつ,,,音读,
骨,ほね,,,训读,
駒,こま,,,训读,驹
込,こ,む,,训读,
込,こ,める,,训读,
頃,ころ,,,训读,顷
今,こん,,,音读,
今,きん,,,音读,
今,いま,,,训读,
困,こん,,,音读,
困,こま,る,,训读,
昆,こん,,,音读,
恨,こん,,,音读,
恨,うら,む,,训读,
恨,うら,めしい,,训读,
根,こん,,,音读,
根,ね,,,训读,
婚,こん,,,音读,
混,こん,,,音读,
混,ま,じる,,训读,
混,ま,ざる,,训读,
混,ま,ぜる,,训读,
混,こ,む,,训读,
痕,こん,,,音读,
痕,あと,,,训读,
紺,こん,,,音读,绀
魂,こん,,,音读,
魂,たましい,,,训读,
墾,こん,,,音读,垦
懇,こん,,,音读,恳
懇,ねんごろ,,,训读,恳
左,さ,,,音读,
左,ひだり,,,训读,
佐,さ,,,音读,
沙,さ,,,音读,
査,さ,,,音读,查
砂,さ,,,音读,
砂,しゃ,,,音读,
砂,すな,,,训读,
唆,さ,,,音读,
唆,そそのか,す,,训读,
差,さ,,,音读,
差,さ,す,,训读,
詐,さ,,,音读,诈
鎖,さ,,,音读,锁
鎖,くさり,,,训读,锁
座,ざ,,,音读,
座,すわ,る,,训读,
挫,ざ,,,音读,
才,さい,,,音读,
再,さい,,,音读,
再,さ,,,音读,
再,ふたた,び,,训读,
災,さい,,,音读,灾
災,わざわ,い,,训读,灾
妻,さい,,,音读,
妻,つま,,,训读,
采,さい,,,音读,
砕,さい,,碎,音读,碎
砕,くだ,く,碎,训读,碎
砕,くだ,ける,碎,训读,碎
宰,さい,,,音读,
栽,さい,,,音读,
彩,さい,,,音读,
彩,いろど,る,,训读,
採,さい,,,音读,采
採,と,る,,训读,采
済,さい,,濟,音读,济
済,す,む,濟,训读,济
済,す,ます,濟,训读,济
祭,さい,,,音读,
祭,まつ,る,,训读,
祭,まつ,り,,训读,
斎,さい,,齋,音读,斋
細,さい,,,音读,细
細,ほそ,い,,训读,细
細,ほそ,る,,训读,细
細,こまか,,,训读,细
細,こま,かい,,训读,细
菜,さい,,,音读,
菜,な,,,训读,
最,さい,,,音读,
最,もっと,も,,训读,
裁,さい,,,音读,
裁,た,つ,,训读,
裁,さば,く,,训读,
債,さい,,,音读,债
催,さい,,,音读,
催,もよお,す,,训读,
塞,さい,,,音读,
塞,そく,,,音读,
塞,ふさ,ぐ,,训读,
塞,ふさ,がる,,训读,
歳,さい,,,音读,岁
歳,せい,,,音读,岁
載,さい,,,音读,载
載,の,せる,,训读,载
載,の,る,,训读,载
際,さい,,,音读,际
際,きわ,,,训读,际
埼,さい,,,训读,
在,ざい,,,音读,
在,あ,る,,训读,
材,ざい,,,音读,
剤,ざい,,劑,音读,剂
財,ざい,,,音读,财
財,さい,,,音读,财
罪,ざい,,,音读,
罪,つみ,,,训读,
崎,さき,,,训读,
作,さく,,,音读,
作,さ,,,音读,
作,つく,る,,训读,
削,さく,,,音读,
削,けず,る,,训读,
昨,さく,,,音读,
柵,さく,,,音读,栅
索,さく,,,音读,
策,さく,,,音读,
酢,さく,,,音读,醋
酢,す,,,训读,醋
搾,さく,,,音读,榨
搾,しぼ,る,,训读,榨
錯,さく,,,音读,错
咲,さ,く,,训读,
冊,さつ,,,音读,册
冊,さく,,,音读,册
札,さつ,,,音读,
札,ふだ,,,训读,
刷,さつ,,,音读,
刷,す,る,,训读,
刹,さつ,,,音读,
刹,せつ,,,音读,
拶,さつ,,,音读,
殺,さつ,,殺,音读,杀
殺,さい,,殺,音读,杀
殺,せつ,,殺,音读,杀
殺,ころ,す,殺,训读,杀
察,さつ,,,音读,
撮,さつ,,,音读,
撮,と,る,,训读,
擦,さつ,,,音读,
擦,す,る,,训读,
擦,す,れる,,训读,
雑,ざつ,,雜,音读,杂
雑,ぞう,,雜,音读,杂
皿,さら,,,训读,
三,さん,,,音读,
三,み,,,训读,
三,み,つ,,训读,
三,みっ,つ,,训读,
山,さん,,,音读,
山,やま,,,训读,
参,さん,,參,音读,
参,まい,る,參,训读,
桟,さん,,棧,音读,栈
蚕,さん,,蠶,音读,
蚕,かいこ,,蠶,训读,
惨,さん,,慘,音读,
惨,ざん,,慘,音读,
惨,みじめ,,慘,训读,
産,さん,,,音读,产
産,う,む,,训读,产
産,う,まれる,,训读,产
産,うぶ,,,训读,产
傘,さん,,,音读,伞
傘,かさ,,,训读,伞
散,さん,,,音读,
散,ち,る,,训读,
散,ち,らす,,训读,
散,ち,らかす,,训读,
散,ち,らかる,,训读,
算,さん,,,音读,
酸,さん,,,音读,
酸,す,い,,训读,
賛,さん,,贊,音读,赞
残,ざん,,殘,音读,
残,のこ,る,殘,训读,
残,のこ,す,殘,训读,
斬,ざん,,,音读,斩
斬,き,る,,训读,斩
暫,ざん,,,音读,暂
士,し,,,音读,
子,し,,,音读,
子,す,,,音读,
子,こ,,,训读,
支,し,,,音读,
支,ささ,える,,训读,
止,し,,,音读,
止,と,まる,,训读,
止,と,める,,训读,
氏,し,,,音读,
氏,うじ,,,训读,
仕,し,,,音读,
仕,じ,,,音读,
仕,つか,える,,训读,
史,し,,,音读,
司,し,,,音读,
四,し,,,音读,
四,よ,,,训读,
四,よ,つ,,训读,
四,よっ,つ,,训读,
四,よん,,,训读,
市,し,,,音读,
市,いち,,,训读,
矢,し,,,音读,
矢,や,,,训读,
旨,し,,,音读,
旨,むね,,,训读,
死,し,,,音读,
死,し,ぬ,,训读,
糸,し,,絲,音读,系
糸,いと,,絲,训读,系
至,し,,,音读,
至,いた,る,,训读,
伺,し,,,音读,
伺,うかが,う,,训读,
志,し,,,音读,
志,こころざ,す,,训读,
志,こころざし,,,训读,
私,し,,,音读,
私,わたくし,,,训读,
私,わたし,,,训读,
使,し,,,音读,
使,つか,う,,训读,
刺,し,,,音读,
刺,さ,す,,训读,
刺,さ,さる,,训读,
始,し,,,音读,
始,はじ,める,,训读,
始,はじ,まる,,训读,
姉,し,,,音读,姐
姉,あね,,,训读,姐
枝,し,,,音读,
枝,えだ,,,训读,
祉,し,,祉,音读,
肢,し,,,音读,
姿,し,,,音读,
姿,すがた,,,训读,
思,し,,,音读,
思,おも,う,,训读,
指,し,,,音读,
指,ゆび,,,训读,
指,さ,す,,训读,
施,し,,,音读,
施,せ,,,音读,
施,ほどこ,す,,训读,
師,し,,,音读,师
恣,し,,,音读,
紙,し,,,音读,纸
紙,かみ,,,训读,纸
脂,し,,,音读,
脂,あぶら,,,训读,
視,し,,視,音读,视
紫,し,,,音读,
紫,むらさき,,,训读,
詞,し,,,音读,词
歯,し,,齒,音读,齿
歯,は,,齒,训读,齿
嗣,し,,,音读,
試,し,,,音读,试
試,こころ,みる,,训读,试
試,ため,す,,训读,试
詩,し,,,音读,诗
資,し,,,音读,资
飼,し,,,音读,饲
飼,か,う,,训读,饲
誌,し,,,音读,志
雌,し,,,音读,
雌,め,,,训读,
雌,めす,,,训读,
摯,し,,,音读,挚
賜,し,,,音读,赐
賜,たまわ,る,,训读,赐
諮,し,,,音读,谘
諮,はか,る,,训读,谘
示,じ,,,音读,
示,し,,,音读,
示,しめ,す,,训读,
字,じ,,,音读,
字,あざ,,,训读,
寺,じ,,,音读,
寺,てら,,,训读,
次,じ,,,音读,
次,し,,,音读,
次,つ,ぐ,,训读,
次,つぎ,,,训读,
耳,じ,,,音读,
耳,みみ,,,训读,
自,じ,,,音读,
自,し,,,音读,
自,みずか,ら,,训读,
似,じ,,,音读,
似,に,る,,训读,
児,じ,,兒,音读,儿
児,に,,兒,音读,儿
事,じ,,,音读,
事,ず,,,音读,
事,こと,,,训读,
侍,じ,,,音读,
侍,さむらい,,,训读,
治,じ,,,音读,
治,ち,,,音读,
治,おさ,める,,训读,
治,おさ,まる,,训读,
治,なお,る,,训读,
治,なお,す,,训读,
持,じ,,,音读,
持,も,つ,,训读,
時,じ,,,音读,时
時,とき,,,训读,时
滋,じ,,,音读,
慈,じ,,,音读,
慈,いつく,しむ,,训读,
辞,じ,,辭,音读,
辞,や,める,辭,训读,
磁,じ,,,音读,
餌［餌］,じ,,,音读,
餌［餌］,えさ,,,训读,
餌［餌］,え,,,训读,
璽,じ,,,音读,玺
鹿,しか,,,训读,
鹿,か,,,训读,
式,しき,,,音读,
識,しき,,,音读,识
軸,じく,,,音读,轴
七,しち,,,音读,
七,なな,,,训读,
七,なな,つ,,训读,
七,なの,,,训读,
𠮟,しつ,,,音读,
𠮟,しか,る,,训读,
失,しつ,,,音读,
失,うしな,う,,训读,
室,しつ,,,音读,
室,むろ,,,训读,
疾,しつ,,,音读,
執,しつ,,,音读,执
執,しゅう,,,音读,执
執,と,る,,训读,执
湿,しつ,,濕,音读,
湿,しめ,る,濕,训读,
湿,しめ,す,濕,训读,
嫉,しつ,,,音读,
漆,しつ,,,音读,
漆,うるし,,,训读,
質,しつ,,,音读,质
質,しち,,,音读,质
質,ち,,,音读,质
実,じつ,,實,音读,实
実,み,,實,训读,实
実,みの,る,實,训读,实
芝,しば,,,训读,
写,しゃ,,寫,音读,
写,うつ,す,寫,训读,
写,うつ,る,寫,训读,
社,しゃ,,社,音读,
社,やしろ,,社,训读,
車,しゃ,,,音读,车
車,くるま,,,训读,车
舎,しゃ,,,音读,舍
者,しゃ,,者,音读,
者,もの,,者,训读,
射,しゃ,,,音读,
射,い,る,,训读,
捨,しゃ,,,音读,舍
捨,す,てる,,训读,舍
赦,しゃ,,,音读,
斜,しゃ,,,音读,
斜,なな,め,,训读,
煮,しゃ,,煮,音读,
煮,に,る,煮,训读,
煮,に,える,煮,训读,
煮,にやす,,煮,训读,
遮,しゃ,,,音读,
遮,さえぎ,る,,训读,
謝,しゃ,,,音读,谢
謝,あやま,る,,训读,谢
邪,じゃ,,,音读,
蛇,じゃ,,,音读,
蛇,だ,,,音读,
蛇,へび,,,训读,
尺,しゃく,,,音读,
借,しゃく,,,音读,
借,か,りる,,训读,
酌,しゃく,,,音读,
酌,く,む,,训读,
釈,しゃく,,釋,音读,释
爵,しゃく,,,音读,
若,じゃく,,,音读,
若,にゃく,,,音读,
若,わか,い,,训读,
若,も,しくは,,训读,
弱,じゃく,,,音读,
弱,よわ,い,,训读,
弱,よわ,る,,训读,
弱,よわ,まる,,训读,
弱,よわ,める,,训读,
寂,じゃく,,,音读,
寂,せき,,,音读,
寂,さび,,,训读,
寂,さび,しい,,训读,
寂,さび,れる,,训读,
手,しゅ,,,音读,
手,て,,,训读,
手,た,,,训读,
主,しゅ,,,音读,
主,す,,,音读,
主,ぬし,,,训读,
主,おも,,,训读,
守,しゅ,,,音读,
守,す,,,音读,
守,まも,る,,训读,
守,も,り,,训读,
朱,しゅ,,,音读,
取,しゅ,,,音读,
取,と,る,,训读,
狩,しゅ,,,音读,
狩,か,る,,训读,
狩,か,り,,训读,
首,しゅ,,,音读,
首,くび,,,训读,
殊,しゅ,,,音读,
殊,こと,,,训读,
珠,しゅ,,,音读,
酒,しゅ,,,音读,
酒,さけ,,,训读,
酒,さか,,,训读,
腫,しゅ,,,音读,肿
腫,は,れる,,训读,肿
腫,は,らす,,训读,肿
種,しゅ,,,音读,种
種,たね,,,训读,种
趣,しゅ,,,音读,
趣,おもむき,,,训读,
寿,じゅ,,壽,音读,
寿,ことぶき,,壽,训读,
受,じゅ,,,音读,
受,う,ける,,训读,
受,う,かる,,训读,
呪,じゅ,,,音读,
呪,のろ,う,,训读,
授,じゅ,,,音读,
授,さず,ける,,训读,
授,さず,かる,,训读,
需,じゅ,,,音读,
儒,じゅ,,,音读,
樹,じゅ,,,音读,树
収,しゅう,,收,音读,收
収,おさ,める,收,训读,收
収,おさ,まる,收,训读,收
囚,しゅう,,,音读,
州,しゅう,,,音读,
州,す,,,训读,
舟,しゅう,,,音读,
舟,ふね,,,训读,
舟,ふな,,,训读,
秀,しゅう,,,音读,
秀,ひい,でる,,训读,
周,しゅう,,,音读,
周,まわ,り,,训读,
宗,しゅう,,,音读,
宗,そう,,,音读,
拾,しゅう,,,音读,
拾,じゅう,,,音读,
拾,ひろ,う,,训读,
秋,しゅう,,,音读,
秋,あき,,,训读,
臭,しゅう,,臭,音读,
臭,くさ,い,臭,训读,
臭,にお,う,臭,训读,
修,しゅう,,,音读,
修,しゅ,,,音读,
修,おさ,める,,训读,
修,おさ,まる,,训读,
袖,しゅう,,,音读,
袖,そで,,,训读,
終,しゅう,,,音读,终
終,お,わる,,训读,终
終,お,える,,训读,终
羞,しゅう,,,音读,
習,しゅう,,,音读,习
習,なら,う,,训读,习
週,しゅう,,,音读,
就,しゅう,,,音读,
就,じゅ,,,音读,
就,つ,く,,训读,
就,つ,ける,,训读,
衆,しゅう,,,音读,众
衆,しゅ,,,音读,众
集,しゅう,,,音读,
集,あつ,まる,,训读,
集,あつ,める,,训读,
集,つど,う,,训读,
愁,しゅう,,,音读,
愁,うれ,える,,训读,
愁,うれ,い,,训读,
酬,しゅう,,,音读,
醜,しゅう,,,音读,丑
醜,みにく,い,,训读,丑
蹴,しゅう,,,音读,
蹴,け,る,,训读,
襲,しゅう,,,音读,袭
襲,おそ,う,,训读,袭
十,じゅう,,,音读,
十,じっ,,,音读,
十,とお,,,训读,
十,と,,,训读,
汁,じゅう,,,音读,
汁,しる,,,训读,
充,じゅう,,,音读,
充,あ,てる,,训读,
住,じゅう,,,音读,
住,す,む,,训读,
住,す,まう,,训读,
柔,じゅう,,,音读,
柔,にゅう,,,音读,
柔,やわらか,,,训读,
柔,やわ,らかい,,训读,
重,じゅう,,,音读,
重,ちょう,,,音读,
重,え,,,训读,
重,おも,い,,训读,
重,かさ,ねる,,训读,
重,かさ,なる,,训读,
従,じゅう,,從,音读,从
従,しょう,,從,音读,从
従,じゅ,,從,音读,从
従,したが,う,從,训读,从
従,したが,える,從,训读,从
渋,じゅう,,澁,音读,涩
渋,しぶ,,澁,训读,涩
渋,しぶ,い,澁,训读,涩
渋,しぶ,る,澁,训读,涩
銃,じゅう,,,音读,铳
獣,じゅう,,獸,音读,兽
獣,けもの,,獸,训读,兽
縦,じゅう,,縱,音读,纵
縦,たて,,縱,训读,纵
叔,しゅく,,,音读,
祝,しゅく,,祝,音读,
祝,しゅう,,祝,音读,
祝,いわ,う,祝,训读,
宿,しゅく,,,音读,
宿,やど,,,训读,
宿,やど,る,,训读,
宿,やど,す,,训读,
淑,しゅく,,,音读,
粛,しゅく,,肅,音读,肃
縮,しゅく,,,音读,缩
縮,ちぢ,む,,训读,缩
縮,ちぢ,まる,,训读,缩
縮,ちぢ,める,,训读,缩
縮,ちぢ,れる,,训读,缩
縮,ちぢ,らす,,训读,缩
塾,じゅく,,,音读,
熟,じゅく,,,音读,
熟,う,れる,,训读,
出,しゅつ,,,音读,
出,すい,,,音读,
出,で,る,,训读,
出,だ,す,,训读,
述,じゅつ,,,音读,
述,の,べる,,训读,
術,じゅつ,,,音读,术
俊,しゅん,,,音读,
春,しゅん,,,音读,
春,はる,,,训读,
瞬,しゅん,,,音读,
瞬,またた,く,,训读,
旬,じゅん,,,音读,
旬,しゅん,,,音读,
巡,じゅん,,,音读,
巡,めぐ,る,,训读,
盾,じゅん,,,音读,
盾,たて,,,训读,
准,じゅん,,,音读,
殉,じゅん,,,音读,
純,じゅん,,,音读,纯
循,じゅん,,,音读,
順,じゅん,,,音读,顺
準,じゅん,,,音读,准
潤,じゅん,,,音读,润
潤,うるお,う,,训读,润
潤,うるお,す,,训读,润
潤,うる,む,,训读,润
遵,じゅん,,,音读,
処,しょ,,處,音读,处
初,しょ,,,音读,
初,はじ,め,,训读,
初,はじ,めて,,训读,
初,はつ,,,训读,
初,うい,,,训读,
初,そめる,,,训读,
所,しょ,,,音读,
所,ところ,,,训读,
書,しょ,,,音读,书
書,か,く,,训读,书
庶,しょ,,,音读,
暑,しょ,,暑,音读,
暑,あつ,い,暑,训读,
署,しょ,,署,音读,
緒,しょ,,緖,音读,绪
緒,ちょ,,緖,音读,绪
緒,お,,緖,训读,绪
諸,しょ,,諸,音读,诸
女,じょ,,,音读,
女,にょ,,,音读,
女,にょう,,,音读,
女,おんな,,,训读,
女,め,,,训读,
如,じょ,,,音读,
如,にょ,,,音读,
助,じょ,,,音读,
助,たす,ける,,训读,
助,たす,かる,,训读,
助,すけ,,,训读,
序,じょ,,,音读,
叙,じょ,,敍,音读,
徐,じょ,,,音读,
除,じょ,,,音读,
除,じ,,,音读,
除,のぞ,く,,训读,
小,しょう,,,音读,
小,ちい,さい,,训读,
小,こ,,,训读,
小,お,,,训读,
升,しょう,,,音读,
升,ます,,,训读,
少,しょう,,,音读,
少,すく,ない,,训读,
少,すこ,し,,训读,
召,しょう,,,音读,
召,め,す,,训读,
匠,しょう,,,音读,
床,しょう,,,音读,
床,とこ,,,训读,
床,ゆか,,,训读,
抄,しょう,,,音读,
肖,しょう,,,音读,
尚,しょう,,,音读,
招,しょう,,,音读,
招,まね,く,,训读,
承,しょう,,,音读,
承,うけたまわ,る,,训读,
昇,しょう,,,音读,升
昇,のぼ,る,,训读,升
松,しょう,,,音读,
松,まつ,,,训读,
沼,しょう,,,音读,
沼,ぬま,,,训读,
昭,しょう,,,音读,
宵,しょう,,,音读,
宵,よい,,,训读,
将,しょう,,將,音读,
消,しょう,,,音读,
消,き,える,,训读,
消,け,す,,训读,
症,しょう,,,音读,
祥,しょう,,祥,音读,
称,しょう,,稱,音读,
笑,しょう,,,音读,
笑,わら,う,,训读,
笑,えむ,,,训读,
唱,しょう,,,音读,
唱,とな,える,,训读,
商,しょう,,,音读,
商,あきな,う,,训读,
渉,しょう,,涉,音读,涉
章,しょう,,,音读,
紹,しょう,,,音读,绍
訟,しょう,,,音读,诉
勝,しょう,,,音读,胜
勝,か,つ,,训读,胜
勝,まさ,る,,训读,胜
掌,しょう,,,音读,
晶,しょう,,,音读,
焼,しょう,,燒,音读,烧
焼,や,く,燒,训读,烧
焼,や,ける,燒,训读,烧
焦,しょう,,,音读,
焦,こ,げる,,训读,
焦,こ,がす,,训读,
焦,こ,がれる,,训读,
焦,あせ,る,,训读,
硝,しょう,,,音读,
粧,しょう,,,音读,妆
詔,しょう,,,音读,诏
詔,みことのり,,,训读,诏
証,しょう,,證,音读,证
象,しょう,,,音读,
象,ぞう,,,音读,
傷,しょう,,,音读,伤
傷,きず,,,训读,伤
傷,いた,む,,训读,伤
傷,いた,める,,训读,伤
奨,しょう,,奬,音读,奖
照,しょう,,,音读,
照,て,る,,训读,
照,て,らす,,训读,
照,て,れる,,训读,
詳,しょう,,,音读,详
詳,くわ,しい,,训读,详
彰,しょう,,,音读,
障,しょう,,,音读,
障,さわ,る,,训读,
憧,しょう,,,音读,
憧,あこが,れる,,训读,
衝,しょう,,,音读,冲
賞,しょう,,,音读,赏
償,しょう,,,音读,偿
償,つぐな,う,,训读,偿
礁,しょう,,,音读,
鐘,しょう,,,音读,钟
鐘,かね,,,训读,钟
上,じょう,,,音读,
上,しょう,,,音读,
上,うえ,,,训读,
上,うわ,,,训读,
上,かみ,,,训读,
上,あ,げる,,训读,
上,あ,がる,,训读,
上,のぼ,る,,训读,
上,のぼ,せる,,训读,
上,のぼ,す,,训读,
丈,じょう,,,音读,
丈,たけ,,,训读,
冗,じょう,,,音读,
条,じょう,,條,音读,
状,じょう,,狀,音读,
乗,じょう,,乘,音读,乘
乗,の,る,乘,训读,乘
乗,の,せる,乘,训读,乘
城,じょう,,,音读,
城,しろ,,,训读,
浄,じょう,,淨,音读,净
剰,じょう,,剩,音读,剩
常,じょう,,,音读,
常,つね,,,训读,
常,とこ,,,训读,
情,じょう,,,音读,
情,せい,,,音读,
情,なさ,け,,训读,
場,じょう,,,音读,场
場,ば,,,训读,场
畳,じょう,,疊,音读,叠
畳,たた,む,疊,训读,叠
